Language,Idiom,Count,Frequency_Per_Million
it,bocca al lupo,4991,141.72
it,sano come un pesce,1195,33.93
it,due piccioni con una fava,355,10.08
it,non dire gatto,96367,2736.44
it,gallina vecchia,29,0.82
it,testa di rapa,193,5.48
it,capitare a fagiolo,893,25.36
it,prendere in castagna,15098,428.72
it,patata bollente,126,3.58
it,chi dorme non piglia,183,5.20
it,buongiorno si vede,41990,1192.35
it,erba del vicino,6046,171.68
it,piove sul bagnato,290,8.23
it,tutto fa brodo,79885,2268.41
it,raccogliere quello che si semina,32216,914.81
it,fieno mentre c'è il sole,194,5.51
it,carro davanti ai buoi,47,1.33
it,seminare zizzania,18,0.51
it,pollice verde,97,2.75
it,tagliare i ponti,100,2.84
it,gallina dalle uova,251,7.13
it,ago in un pagliaio,2097,59.55
it,pecora nera,207,5.88
it,chiudere la stalla,7,0.20
it,caval donato,99,2.81
nl,koe bij de horens,1204,32.37
nl,haringen in een ton,13,0.35
nl,zwarte schaap,192,5.16
nl,gegeven paard,125,3.36
nl,kat van huis,489,13.14
nl,hond in de pot,102,2.74
nl,hoge bomen,54,1.45
nl,vogel in de hand,108,2.90
nl,oude koeien,143,3.84
nl,aap uit de mouw,485,13.04
nl,kippen op stok,1446,38.87
nl,kat in de zak,225,6.05
nl,vooruit met de geit,1909,51.32
nl,schaapjes op het droge,635,17.07
nl,hazenpad kiezen,6,0.16
nl,varkentje wassen,48,1.29
nl,kaal als de neten,253,6.80
nl,kraait geen haan,125,3.36
nl,kip zonder kop,755,20.30
nl,mierenneuker,21,0.56
nl,mug een olifant,91,2.45
nl,vis in het water,521,14.01
nl,uiltje knappen,19,0.51
nl,bloemetjes buiten,115,3.09
nl,abraham de mosterd,4,0.11
pl,skóry na niedźwiedziu,18,0.43
pl,tureckim kazaniu,1,0.02
pl,zrobić kogoś w konia,648,15.43
pl,muchy w nosie,14,0.33
pl,flaki z olejem,65,1.55
pl,zbity pies,52,1.24
pl,wilk w owczej,74,1.76
pl,kota w worku,25,0.60
pl,darowanemu koniowi,94,2.24
pl,gdzie kucharek sześć,137,3.26
pl,jaka praca taka płaca,10,0.24
pl,kto rano wstaje,806,19.19
pl,wilka z lasu,83,1.98
pl,igły w stogu,271,6.45
pl,kulą w płot,27,0.64
pl,wystawić kogoś do wiatru,51,1.21
pl,języka w gębie,82,1.95
pl,dużej chmury mały,34,0.81
pl,kłamstwo ma krótkie,931,22.17
pl,czarna owca,129,3.07
pl,między wrony,69,1.64
pl,koń by się uśmiał,9559,227.60
pl,wół do karety,9,0.21
pl,zbijać bąki,16,0.38
pl,gruszki na wierzbie,12,0.29
el,agourída méli,0,0.00
el,gáidaros ton peteinó,0,0.00
el,leípei i gáta,0,0.00
el,kamíla de vlépei,0,0.00
el,laloún polloí kokóroi,0,0.00
el,fasoúli to fasoúli,0,0.00
el,gia ta panigíria,2,0.05
el,koutaliá neró,0,0.00
el,lýkos ki an egérase,0,0.00
el,chelidóni den férnei,0,0.00
el,fórtose ston kókora,0,0.00
el,sigá ta avgá,0,0.00
el,pollá kerásia,0,0.00
el,mílo káto apó,0,0.00
el,psári vromáei,0,0.00
el,píre to máti,0,0.00
el,lýko na fyláei,0,0.00
el,káne to kaló,0,0.00
el,péride óchi,0,0.00
el,mavró próvato,0,0.00
el,psýllous sta áchyra,0,0.00
el,megálo psári,0,0.00
el,gáta ti glóssa,0,0.00
el,kóta líra,0,0.00
el,petáei gaídaros,0,0.00
ru,shkuru neubitogo medvedya,0,0.00
ru,volk v ovechey,47,1.81
ru,kota v meshke,1,0.04
ru,darovanomu konyu,0,0.00
ru,dyma bez ognya,0,0.00
ru,bab s vozu,183,7.06
ru,yabloko ot yabloni,0,0.00
ru,pervy blin komom,0,0.00
ru,tsyplyat po oseni,0,0.00
ru,rabota ne volk,0,0.00
ru,tikhoy omute,0,0.00
ru,goloden kak volk,0,0.00
ru,kak s gusya,13,0.50
ru,puganaia vorona,0,0.00
ru,dvumya zaytsami,0,0.00
ru,ne vse kotu,0,0.00
ru,lyubish katatsya,0,0.00
ru,semi nyanek,0,0.00
ru,kto rano vstaet,0,0.00
ru,lozhka degtya,0,0.00
ru,ne plyuy v kolodets,0,0.00
ru,chto poseesh,0,0.00
ru,khleb vsemu golova,0,0.00
ru,slovo ne vorobey,0,0.00
ru,belaya vorona,0,0.00
